city,imageLink,iamgePath,nickName
杭州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/04/19/4745458_20180419134236_big.jpg,/home/python/Desktop/scrapy2/douyu/images/黎菀菀baby,黎菀菀baby
武汉市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/15/4412351_20180515173354_big.jpg,/home/python/Desktop/scrapy2/douyu/images/渝万小黎酱,渝万小黎酱
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/14/4633610_20180514054205_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小樱桃lya,小樱桃lya
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/03/29/4541638_20180329113330_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小荆棘L,小荆棘L
北京市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/20/4600477_20180520235902_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小莫森呀,小莫森呀
鱼塘,https://rpic.douyucdn.cn/amrpic-180523/3505747_1738.jpg,/home/python/Desktop/scrapy2/douyu/images/皮皮怪小呆檬,皮皮怪小呆檬
鱼塘,https://rpic.douyucdn.cn/amrpic-180523/4696039_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/最强电竞女选手阿瑶呀,最强电竞女选手阿瑶呀
杭州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/10/4625239_20180510174014_big.jpg,/home/python/Desktop/scrapy2/douyu/images/嘉奕小盆友,嘉奕小盆友
成都市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/19/4913382_20180519172303_big.jpg,/home/python/Desktop/scrapy2/douyu/images/是瑞拉拉宝宝呀,是瑞拉拉宝宝呀
郑州市,https://rpic.douyucdn.cn/live-cover/roomCover/2018/05/15/c9dd4443a579f989f1d6f38ee6ec515f_small.jpg,/home/python/Desktop/scrapy2/douyu/images/齐宝宝Yuki,齐宝宝Yuki
新乡市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/12/790334_20180512160541_big.jpg,/home/python/Desktop/scrapy2/douyu/images/珍珍同学,珍珍同学
大连市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/16/4942966_20180516160633_big.jpg,/home/python/Desktop/scrapy2/douyu/images/韩天使k,韩天使k
哈尔滨市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/16/2534882_20180516222105_big.jpg,/home/python/Desktop/scrapy2/douyu/images/呆萌小白兔纸,呆萌小白兔纸
鱼塘,https://rpic.douyucdn.cn/amrpic-180523/4735973_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/安纯蛋ANAN,安纯蛋ANAN
南充市,https://rpic.douyucdn.cn/amrpic-180523/4801780_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/笨笨儿笨笨,笨笨儿笨笨
广州市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/22/4817648_20180522172253_big.jpg,/home/python/Desktop/scrapy2/douyu/images/阿离很nice,阿离很nice
安康市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/18/4572272_20180518165140_big.jpg,/home/python/Desktop/scrapy2/douyu/images/乐乐维C,乐乐维C
西安市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/21/4886511_20180521175813_big.jpg,/home/python/Desktop/scrapy2/douyu/images/乐同学呢,乐同学呢
咸阳市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/09/4873154_20180509190656_big.jpg,/home/python/Desktop/scrapy2/douyu/images/桥本小天使丶,桥本小天使丶
上海市,https://rpic.douyucdn.cn/amrpic-180523/1015749_1738.jpg,/home/python/Desktop/scrapy2/douyu/images/夏宝宝宝宝宝丶,夏宝宝宝宝宝丶
鱼塘,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/03/4704645_20180503212943_big.jpg,/home/python/Desktop/scrapy2/douyu/images/想要上天的吴铁柱,想要上天的吴铁柱
上海市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/23/3966642_20180523161354_big.jpg,/home/python/Desktop/scrapy2/douyu/images/野味花仔,野味花仔
鱼塘,https://rpic.douyucdn.cn/amrpic-180523/4935618_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/糖毛毛毛毛,糖毛毛毛毛
合肥市,https://rpic.douyucdn.cn/amrpic-180523/4622287_1739.jpg,/home/python/Desktop/scrapy2/douyu/images/阿孔小姐啊,阿孔小姐啊
蚌埠市,https://rpic.douyucdn.cn/amrpic-180523/1535083_1738.jpg,/home/python/Desktop/scrapy2/douyu/images/CHOCHO蝶蝶,CHOCHO蝶蝶
新乡市,https://rpic.douyucdn.cn/live-cover/appCovers/2018/05/22/2171886_20180522122337_big.jpg,/home/python/Desktop/scrapy2/douyu/images/小阿雪小阿雪,小阿雪小阿雪
